time_s,temp_C,pwm_pct,error
966,20.274,100.0,3.274
967,20.095,100.0,3.095
968,20.451,100.0,3.451
969,20.006,100.0,3.006
970,19.743,100.0,2.743
971,20.006,100.0,3.006
972,20.538,100.0,3.538
973,19.566,100.0,2.566
974,19.918,100.0,2.918
975,19.831,100.0,2.831
976,19.918,100.0,2.918
977,20.095,100.0,3.095
978,19.743,100.0,2.743
979,20.006,100.0,3.006
980,20.006,100.0,3.006
981,20.274,100.0,3.274
982,20.274,100.0,3.274
983,20.538,100.0,3.538
984,20.362,100.0,3.362
985,20.095,100.0,3.095
986,20.678,100.0,3.678
987,19.918,100.0,2.918
988,19.743,100.0,2.743
989,20.274,100.0,3.274
990,19.918,100.0,2.918
991,20.095,100.0,3.095
992,20.362,100.0,3.362
993,21.245,100.0,4.245
994,20.274,100.0,3.274
995,20.095,100.0,3.095
996,20.274,100.0,3.274
997,19.477,100.0,2.477
998,19.918,100.0,2.918
999,19.918,100.0,2.918
1000,20.274,100.0,3.274
1001,20.538,100.0,3.538
1002,20.185,100.0,3.185
1003,19.655,100.0,2.655
1004,19.918,100.0,2.918
1005,19.918,100.0,2.918
1006,19.831,100.0,2.831
1007,20.362,100.0,3.362
1008,19.918,100.0,2.918
1009,20.006,100.0,3.006
1010,20.451,100.0,3.451
1011,20.608,100.0,3.608
1012,20.538,100.0,3.538
1013,20.185,100.0,3.185
1014,20.748,100.0,3.748
1015,19.918,100.0,2.918
1016,19.831,100.0,2.831
1017,19.918,100.0,2.918
1018,20.451,100.0,3.451
1019,20.362,100.0,3.362
1020,19.831,100.0,2.831
1021,19.918,100.0,2.918
1022,20.886,100.0,3.886
1023,20.678,100.0,3.678
1024,20.095,100.0,3.095
1025,20.095,100.0,3.095
1026,20.095,100.0,3.095
1027,19.655,100.0,2.655
